Target,c0,c1,c2,c3,c4
NN,3195020.0,3455330.0,3497960.0,3068820.0,3206710.0
NN,3651460.0,3412750.0,4132000.0,3248620.0,3603210.0
NN,4716460.0,4051410.0,3638860.0,3150550.0,2946500.0
NN,3347170.0,2433480.0,3075280.0,3150550.0,3058020.0
NN,3042880.0,2859250.0,3004830.0,3166890.0,2859770.0
NN,3042880.0,2603790.0,3427520.0,3150550.0,3739510.0
NN,3423240.0,3519200.0,3075280.0,3183240.0,3206710.0
NN,3727530.0,3412750.0,3638860.0,3166890.0,3578430.0
NN,3118950.0,3306310.0,3497960.0,3166890.0,2872160.0
NN,3195020.0,4072700.0,2723040.0,3068820.0,3256270.0
NN,3118950.0,2199310.0,2793480.0,3183240.0,3045630.0
NN,3423240.0,3710790.0,3568410.0,3068820.0,3281050.0
NN,3879670.0,3263740.0,3850200.0,3085170.0,3392570.0
NN,3575380.0,3029560.0,3286620.0,3526490.0,3119970.0
NN,4336100.0,3370180.0,3075280.0,3068820.0,3144760.0
NN,3347170.0,3093430.0,3427520.0,3101510.0,3318230.0
NN,3499310.0,3093430.0,3004830.0,3052480.0,3020850.0
NN,3727530.0,2731520.0,3004830.0,3085170.0,3305840.0
NN,4107890.0,3561770.0,3427520.0,3134200.0,3008460.0
NN,3803600.0,2816680.0,2863930.0,3134200.0,3119970.0
NN,2738590.0,2965700.0,2793480.0,3085170.0,3082800.0
NN,2890740.0,3455330.0,2863930.0,3036130.0,2884550.0
NN,3347170.0,3519200.0,3286620.0,2987100.0,2859770.0
NN,2814660.0,2923120.0,3216170.0,3248620.0,3181930.0
NN,4260030.0,3455330.0,3145720.0,3134200.0,2884550.0
NN,2662520.0,2603790.0,3638860.0,3215930.0,3343010.0
NN,3118950.0,3348890.0,3638860.0,3085170.0,3033240.0
NN,3879670.0,3455330.0,3497960.0,3183240.0,2971280.0
NN,3042880.0,3668220.0,3357070.0,3085170.0,2996070.0
NN,3423240.0,3519200.0,3216170.0,3085170.0,3157150.0
NN,4183960.0,3093430.0,2723040.0,3150550.0,3045630.0
NN,3879670.0,3668220.0,3357070.0,3117860.0,3157150.0
NN,3423240.0,2965700.0,3286620.0,3264960.0,3665170.0
NN,1901800.0,3029560.0,3075280.0,3150550.0,3008460.0
NN,3955740.0,3902390.0,3286620.0,3117860.0,3355400.0
NN,3955740.0,3646930.0,2934380.0,3166890.0,3132360.0
NN,3651460.0,3221160.0,3357070.0,3215930.0,3070410.0
NN,3118950.0,3306310.0,3004830.0,3052480.0,2934110.0
NN,4944680.0,3327600.0,3145720.0,2987100.0,3268660.0
NN,2662520.0,3540490.0,3638860.0,3068820.0,3107580.0
NN,4260030.0,3455330.0,3638860.0,3052480.0,3243880.0
NN,3423240.0,3263740.0,3075280.0,3166890.0,2909330.0
NN,4868610.0,3838520.0,3850200.0,3117860.0,3305840.0
NN,4260030.0,4179140.0,3004830.0,3183240.0,2934110.0
NN,4412170.0,3029560.0,3568410.0,3085170.0,3504090.0
NN,3195020.0,3093430.0,3216170.0,3166890.0,2971280.0
NN,3347170.0,3434040.0,2863930.0,3215930.0,3404960.0
NN,4183960.0,2752810.0,3286620.0,3134200.0,3107580.0
NN,2662520.0,3327600.0,3709310.0,3134200.0,2847380.0
NN,4031810.0,3029560.0,3286620.0,3166890.0,4569700.0
NN,2662520.0,3710790.0,3709310.0,3036130.0,2834990.0
NN,2890740.0,3902390.0,2793480.0,3134200.0,3206710.0
NN,3803600.0,3029560.0,3145720.0,3019790.0,3144760.0
NN,4107890.0,3008270.0,3357070.0,3019790.0,3268660.0
NN,3118950.0,3306310.0,3145720.0,3068820.0,3256270.0
NN,3727530.0,3625640.0,3427520.0,2970750.0,3045630.0
NN,2130020.0,3199870.0,3004830.0,3052480.0,3206710.0
NN,4183960.0,3519200.0,3427520.0,3101510.0,3095190.0
NN,3118950.0,3710790.0,3216170.0,3068820.0,2996070.0
NN,3423240.0,3157290.0,3286620.0,3183240.0,3417350.0
NN,2890740.0,3029560.0,2934380.0,3003440.0,3343010.0
NN,2738590.0,2816680.0,3497960.0,3052480.0,3144760.0
NN,3803600.0,3519200.0,3216170.0,3183240.0,3119970.0
NN,3879670.0,3434040.0,3145720.0,3166890.0,3404960.0
NN,3955740.0,3263740.0,3286620.0,3166890.0,3714730.0
NN,3118950.0,2731520.0,3004830.0,3117860.0,3355400.0
NN,4031810.0,3540490.0,3427520.0,3036130.0,3305840.0
NN,2434300.0,2965700.0,2863930.0,3117860.0,2983680.0
NN,3651460.0,3668220.0,3145720.0,3052480.0,3157150.0
NN,2966810.0,2646370.0,3357070.0,3117860.0,3367790.0
NN,2358230.0,3306310.0,3004830.0,3085170.0,3256270.0
NN,4183960.0,3944970.0,3638860.0,3052480.0,3107580.0
NN,5172890.0,3370180.0,3991100.0,3052480.0,3107580.0
NN,4640390.0,3306310.0,3568410.0,3085170.0,3367790.0
NN,3651460.0,3114720.0,3216170.0,3052480.0,2934110.0
NN,3347170.0,3370180.0,2934380.0,3101510.0,3132360.0
NN,4107890.0,4051410.0,3004830.0,3134200.0,3318230.0
NN,2738590.0,2816680.0,3075280.0,3166890.0,3070410.0
NN,3271100.0,3519200.0,3427520.0,3134200.0,3169540.0
NN,3955740.0,2731520.0,3497960.0,3215930.0,3702340.0
NN,3803600.0,4562340.0,3568410.0,3248620.0,3119970.0
NN,1977870.0,3008270.0,3145720.0,3264960.0,3442130.0
NN,2890740.0,3114720.0,3216170.0,3232270.0,3008460.0
NN,2510380.0,3242450.0,2934380.0,3232270.0,2834990.0
NN,3499310.0,2965700.0,3357070.0,3215930.0,3380180.0
NN,3195020.0,4072700.0,3004830.0,3379380.0,3082800.0
NN,4107890.0,3732080.0,3568410.0,3281310.0,3070410.0
NN,4336100.0,3817240.0,3850200.0,3199580.0,3157150.0
NN,3042880.0,3029560.0,3357070.0,3232270.0,2810200.0
NN,3347170.0,2923120.0,2863930.0,3281310.0,3107580.0
NN,3042880.0,3327600.0,3216170.0,3183240.0,3318230.0
NN,3575380.0,2561210.0,3145720.0,3248620.0,3033240.0
NN,3575380.0,3327600.0,3357070.0,3117860.0,2958890.0
NN,2510380.0,3136000.0,3075280.0,3183240.0,3615600.0
NN,3347170.0,3944970.0,3568410.0,3199580.0,2971280.0
NN,3727530.0,3242450.0,3779760.0,3166890.0,3058020.0
NN,3727530.0,3668220.0,3638860.0,3248620.0,2834990.0
NN,3423240.0,3093430.0,2934380.0,3085170.0,3107580.0
NN,4183960.0,2816680.0,2793480.0,3166890.0,3404960.0
NN,3271100.0,3625640.0,2793480.0,3232270.0,2996070.0
NN,3271100.0,3157290.0,2793480.0,3281310.0,3181930.0
NN,3879670.0,3838520.0,3216170.0,3232270.0,3058020.0
NN,3651460.0,3753370.0,3004830.0,3232270.0,3231490.0
NN,3042880.0,2795390.0,3004830.0,3363040.0,3404960.0
NN,3727530.0,3093430.0,3075280.0,3183240.0,2847380.0
NN,3727530.0,3029560.0,3075280.0,3183240.0,2934110.0
NN,3042880.0,3668220.0,2723040.0,3052480.0,3020850.0
NN,3195020.0,4243010.0,3004830.0,3085170.0,3107580.0
NN,3879670.0,3753370.0,3216170.0,3150550.0,3541260.0
NN,2814660.0,3327600.0,2934380.0,3101510.0,3070410.0
NN,3879670.0,4732640.0,2582140.0,3134200.0,3058020.0
NN,4031810.0,3561770.0,3216170.0,3150550.0,3243880.0
NN,3347170.0,3199870.0,3145720.0,3085170.0,2983680.0
NN,3423240.0,2795390.0,2652590.0,3183240.0,3404960.0
NN,2966810.0,3348890.0,2723040.0,3134200.0,2971280.0
NN,3042880.0,3157290.0,3004830.0,3101510.0,3058020.0
NN,2814660.0,3114720.0,2793480.0,3134200.0,3045630.0
NN,3575380.0,2752810.0,3145720.0,3150550.0,3281050.0
NN,3499310.0,3114720.0,3075280.0,3101510.0,3355400.0
NN,3499310.0,3114720.0,3075280.0,3117860.0,3826250.0
NN,2890740.0,2859250.0,2652590.0,3036130.0,2934110.0
NN,2510380.0,3519200.0,3075280.0,3297650.0,2785420.0
NN,3955740.0,2965700.0,3357070.0,3085170.0,3355400.0
NN,3499310.0,3242450.0,3145720.0,3117860.0,3380180.0
NN,2738590.0,2646370.0,3004830.0,3068820.0,3231490.0
NN,3118950.0,3199870.0,2441240.0,3085170.0,3157150.0
NN,2814660.0,3093430.0,3004830.0,3052480.0,3169540.0
NN,3803600.0,3561770.0,2511690.0,3264960.0,3442130.0
NN,4944680.0,3434040.0,3075280.0,3068820.0,3442130.0
NN,2738590.0,2731520.0,2863930.0,3085170.0,3578430.0
NN,3423240.0,2646370.0,2652590.0,3052480.0,2996070.0
NN,2890740.0,3327600.0,3991100.0,3150550.0,2859770.0
NN,3651460.0,2965700.0,3357070.0,3101510.0,3243880.0
NN,3575380.0,3561770.0,3075280.0,3068820.0,2859770.0
NN,4031810.0,2688940.0,2793480.0,3117860.0,3082800.0
NN,3347170.0,3263740.0,3216170.0,3101510.0,3417350.0
NN,3879670.0,2965700.0,2934380.0,3101510.0,3330620.0
NN,4716460.0,2944410.0,3216170.0,3232270.0,3665170.0
NN,3271100.0,2688940.0,2652590.0,3068820.0,3058020.0
NN,3271100.0,2816680.0,2863930.0,3183240.0,3144760.0
NN,3042880.0,2518640.0,2652590.0,3068820.0,2983680.0
NN,2510380.0,2518640.0,2229900.0,3134200.0,3219100.0
NN,3575380.0,2688940.0,2793480.0,3117860.0,3119970.0
NN,4031810.0,3902390.0,3004830.0,3085170.0,3157150.0
NN,2206090.0,2901830.0,2793480.0,3134200.0,3417350.0
NN,4640390.0,3519200.0,3145720.0,3117860.0,3305840.0
NN,3727530.0,2901830.0,2723040.0,3183240.0,3417350.0
NN,3499310.0,3838520.0,3568410.0,3068820.0,3343010.0
NN,2966810.0,2603790.0,3216170.0,3003440.0,2971280.0
NN,2814660.0,2710230.0,2793480.0,3150550.0,3033240.0
NN,5629330.0,4796510.0,4625130.0,3101510.0,2847380.0
NN,3499310.0,4711360.0,3427520.0,3068820.0,2859770.0
NN,3651460.0,4966820.0,3216170.0,3085170.0,2872160.0
NN,0.0,6691190.0,6034090.0,3134200.0,2896940.0
NN,1749660.0,6435730.0,5822750.0,3052480.0,2884550.0
NN,0.0,5179700.0,8992910.0,3134200.0,2884550.0
NN,5248970.0,4796510.0,5329610.0,3019790.0,2884550.0
NN,3423240.0,5626760.0,4554680.0,3019790.0,2896940.0
NN,152144.0,6265420.0,7161260.0,3215930.0,2797810.0
NN,2282160.0,3668220.0,3850200.0,3183240.0,2834990.0
NN,1825730.0,4349450.0,4836480.0,3003440.0,2896940.0
NN,1825730.0,6371860.0,5752300.0,3003440.0,2884550.0
NN,1749660.0,4051410.0,3850200.0,2938060.0,2896940.0
NN,3042880.0,5009400.0,3075280.0,2970750.0,2921720.0
NN,1825730.0,5584190.0,7090810.0,3101510.0,2847380.0
NN,2586450.0,4072700.0,4484240.0,3036130.0,2859770.0
NN,1141080.0,6201550.0,8992910.0,3068820.0,2859770.0
NN,1825730.0,5946090.0,6949920.0,3036130.0,2859770.0
NN,2586450.0,4072700.0,4132000.0,3003440.0,2859770.0
NN,228216.0,4434600.0,7443050.0,3019790.0,2847380.0
NN,2434300.0,4328160.0,4484240.0,3166890.0,2909330.0
NN,1445370.0,5882220.0,3850200.0,3101510.0,2797810.0
NN,1445370.0,5243570.0,5047820.0,3101510.0,2834990.0
NN,2510380.0,4860380.0,4977370.0,3199580.0,2896940.0
NN,2206090.0,5669340.0,3216170.0,3150550.0,2810200.0
NN,2586450.0,5030680.0,3286620.0,3150550.0,2909330.0
NN,836792.0,6691190.0,5118270.0,3117860.0,2859770.0
NN,3423240.0,4541050.0,3286620.0,3036130.0,2847380.0
NN,6009680.0,6052530.0,4272890.0,3134200.0,2946500.0
NN,3042880.0,3859810.0,4272890.0,3101510.0,2872160.0
NN,1749660.0,4817800.0,5400060.0,3052480.0,2884550.0
NN,2434300.0,4519760.0,3216170.0,3117860.0,2847380.0
NN,3118950.0,4157850.0,4061550.0,3101510.0,2872160.0
NN,1065010.0,5350010.0,5822750.0,3068820.0,2909330.0
NN,2053940.0,3668220.0,3357070.0,3036130.0,2847380.0
NN,4564320.0,1794820.0,2582140.0,5618660.0,4049280.0
NN,4183960.0,2752810.0,3427520.0,4621610.0,7655000.0
NN,3271100.0,2050290.0,2370800.0,3199580.0,3045630.0
NN,4183960.0,1943840.0,3709310.0,3117860.0,3429740.0
NN,4107890.0,2114150.0,2723040.0,6681100.0,3578430.0
NN,5781470.0,2497350.0,3216170.0,4425470.0,4656430.0
NN,4868610.0,1624520.0,2370800.0,4964860.0,3231490.0
NN,4031810.0,2071580.0,3004830.0,4817750.0,8918860.0
NN,4183960.0,1709670.0,2441240.0,5945560.0,5845940.0
NN,4107890.0,1475500.0,2441240.0,12140400.0,5548570.0
NN,4412170.0,2497350.0,2723040.0,5161000.0,9848170.0
NN,3803600.0,2646370.0,2793480.0,3689940.0,4656430.0
NN,4640390.0,1411630.0,2089000.0,4915820.0,3962550.0
NN,4260030.0,2305750.0,3216170.0,4752370.0,9439270.0
NN,5020750.0,1879980.0,2511690.0,4539880.0,3454520.0
NN,5248970.0,1730960.0,2300350.0,4915820.0,3144760.0
NN,5781470.0,1837400.0,2863930.0,4311050.0,3801470.0
NN,3651460.0,2390900.0,2441240.0,3869730.0,5300750.0
NN,5401110.0,1603230.0,2159450.0,8250230.0,3912980.0
NN,4183960.0,2029000.0,3216170.0,4147600.0,5536180.0
NN,4564320.0,2092860.0,2723040.0,4311050.0,6081370.0
NN,4412170.0,1709670.0,2159450.0,6648410.0,5622910.0
NN,3575380.0,1858690.0,2441240.0,9623220.0,5226410.0
NN,5248970.0,1709670.0,2370800.0,5929220.0,3888200.0
NN,4107890.0,2390900.0,2723040.0,4065880.0,7927600.0
NN,4031810.0,2688940.0,2863930.0,3199580.0,4297100.0
NN,5629330.0,2199310.0,2441240.0,3624560.0,3652780.0
NN,2890740.0,2390900.0,2934380.0,3117860.0,3491700.0
NN,2434300.0,2305750.0,2723040.0,3264960.0,4433400.0
NN,2814660.0,2433480.0,2934380.0,3134200.0,3702340.0
