Target,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
NN,55187.0,12563.0,37499.0,16890.0,40603.0,41129.0,37607.0,18548.0,38866.0,24380.0,29837.0,63615.0,36787.0
NN,36787.0,37424.0,13470.0,27335.0,2027.0,21370.0,37739.0,33459.0,16075.0,17986.0,17334.0,30370.0,51132.0
NN,36086.0,36086.0,36734.0,20982.0,45910.0,27025.0,22082.0,41129.0,40095.0,21021.0,49616.0,24604.0,29304.0
NN,45610.0,42397.0,42397.0,57602.0,15671.0,39952.0,20944.0,30630.0,64857.0,43552.0,13602.0,36592.0,36458.0
NN,20247.0,52332.0,56186.0,56186.0,38114.0,23960.0,52919.0,35132.0,34192.0,41129.0,32491.0,32149.0,29150.0
NN,16999.0,29837.0,39849.0,21362.0,21362.0,54670.0,13211.0,38200.0,15539.0,29918.0,51750.0,42169.0,25967.0
NN,32251.0,30587.0,30370.0,37929.0,54784.0,54784.0,57947.0,14635.0,38200.0,13512.0,18521.0,34349.0,30141.0
NN,21021.0,32457.0,22199.0,28771.0,55453.0,47305.0,47305.0,52256.0,18262.0,43807.0,23647.0,36329.0,36609.0
NN,30002.0,22257.0,17366.0,21081.0,30903.0,55453.0,47539.0,47539.0,65535.0,11656.0,28387.0,11486.0,19233.0
NN,41129.0,36501.0,19784.0,32457.0,21920.0,31968.0,37929.0,35853.0,35853.0,48806.0,7900.0,31891.0,18242.0
NN,19945.0,45197.0,38851.0,11129.0,29770.0,33215.0,28239.0,54733.0,35853.0,35853.0,52945.0,18391.0,32943.0
NN,24998.0,24932.0,44519.0,41201.0,11129.0,40727.0,24995.0,41026.0,45610.0,57589.0,57589.0,53290.0,9584.0
NN,33644.0,20944.0,17808.0,27570.0,28896.0,16075.0,23981.0,20801.0,36764.0,37209.0,46837.0,46837.0,46909.0
NN,12822.0,36798.0,18242.0,13534.0,36609.0,33459.0,19784.0,28943.0,24156.0,35698.0,39129.0,48707.0,48707.0
NN,64155.0,12822.0,36097.0,2702.0,14959.0,47908.0,46317.0,37095.0,49616.0,23038.0,41026.0,35048.0,40761.0
NN,40761.0,57774.0,14635.0,35746.0,4729.0,22795.0,52428.0,45626.0,19784.0,52717.0,34781.0,38362.0,41530.0
NN,59318.0,59318.0,44840.0,13858.0,46961.0,22295.0,29918.0,42259.0,35533.0,21021.0,21707.0,33662.0,42624.0
NN,38649.0,48240.0,48240.0,56395.0,15283.0,47662.0,31754.0,35617.0,41129.0,38713.0,24730.0,32251.0,27511.0
NN,31435.0,33128.0,46837.0,46837.0,48289.0,10750.0,44157.0,31754.0,32055.0,44519.0,42307.0,33386.0,27082.0
NN,29748.0,34632.0,31207.0,39826.0,39826.0,54498.0,11009.0,39251.0,19931.0,27069.0,52428.0,49635.0,23494.0
NN,29977.0,41491.0,39960.0,37209.0,65535.0,65535.0,45012.0,30566.0,42055.0,15539.0,32768.0,38869.0,37192.0
NN,4946.0,25842.0,21360.0,25575.0,50171.0,26504.0,26504.0,52256.0,11527.0,32242.0,18242.0,39891.0,45649.0
NN,39127.0,13602.0,34938.0,24436.0,32501.0,58573.0,23465.0,23465.0,32768.0,39632.0,45209.0,27025.0,22795.0
NN,32316.0,28620.0,14838.0,32457.0,18005.0,29304.0,54012.0,22998.0,22998.0,46219.0,14506.0,35045.0,20269.0
NN,22082.0,36835.0,35118.0,17311.0,26462.0,14091.0,33567.0,65535.0,35385.0,35385.0,31388.0,11138.0,40653.0
NN,24322.0,17808.0,33897.0,28067.0,16075.0,21707.0,14818.0,32501.0,56653.0,34450.0,34450.0,42598.0,13858.0
NN,43807.0,31754.0,18521.0,35027.0,31385.0,18548.0,25842.0,12525.0,34100.0,61214.0,26504.0,26504.0,34837.0
NN,16967.0,65185.0,48645.0,38466.0,37287.0,32353.0,42041.0,31217.0,12861.0,34632.0,46331.0,25803.0,25803.0
NN,40701.0,13340.0,44157.0,18580.0,16384.0,42259.0,35947.0,25967.0,21500.0,19683.0,23443.0,46811.0,42864.0
NN,42864.0,39149.0,12693.0,27335.0,21620.0,17096.0,32090.0,25578.0,17311.0,19433.0,14930.0,28771.0,36008.0
NN,47071.0,47071.0,48979.0,15024.0,50465.0,29727.0,26356.0,44519.0,36362.0,29676.0,27909.0,18005.0,41026.0
NN,51132.0,29776.0,29776.0,51566.0,12174.0,29789.0,18242.0,18521.0,37739.0,27514.0,16075.0,32457.0,19124.0
NN,29837.0,55693.0,35385.0,35385.0,46564.0,9843.0,46961.0,40199.0,22082.0,45649.0,40234.0,19784.0,40727.0
NN,24715.0,37829.0,34568.0,47071.0,47071.0,43977.0,11915.0,35045.0,28714.0,25644.0,42485.0,39404.0,11129.0
NN,31837.0,31425.0,32501.0,38649.0,57822.0,57822.0,45702.0,14117.0,35045.0,22295.0,24219.0,32542.0,32491.0
NN,35859.0,32251.0,14315.0,39960.0,38409.0,33282.0,33282.0,47082.0,10232.0,46961.0,30065.0,44165.0,44519.0
NN,33182.0,45751.0,19433.0,23038.0,41026.0,41530.0,44734.0,44734.0,42770.0,13729.0,45209.0,28376.0,28493.0
NN,30960.0,30279.0,19784.0,23361.0,16328.0,33034.0,38409.0,38190.0,38190.0,42253.0,13858.0,36798.0,33443.0
NN,21370.0,38869.0,36501.0,16075.0,29977.0,21360.0,29837.0,52812.0,30010.0,30010.0,38804.0,11656.0,51867.0
NN,16553.0,28493.0,36609.0,32353.0,25967.0,19640.0,18565.0,32501.0,36248.0,28140.0,28140.0,34837.0,11786.0
NN,41704.0,24998.0,19945.0,33219.0,28896.0,19784.0,21294.0,16607.0,34100.0,29767.0,38657.0,38657.0,35182.0
NN,9843.0,25934.0,16553.0,19945.0,32090.0,31800.0,18548.0,19847.0,13532.0,37296.0,34088.0,34684.0,34684.0
NN,55015.0,42093.0,40302.0,8783.0,41316.0,45649.0,37330.0,8656.0,34525.0,21360.0,21845.0,54252.0,22531.0
NN,22531.0,43633.0,12563.0,33293.0,18917.0,33480.0,49038.0,40787.0,25967.0,39900.0,27120.0,25042.0,50652.0
NN,24167.0,24167.0,41046.0,40150.0,26635.0,27700.0,14247.0,33219.0,32353.0,17311.0,22121.0,16775.0,22911.0
NN,41530.0,35385.0,35385.0,49151.0,14894.0,43106.0,14864.0,22082.0,51298.0,44520.0,4946.0,26669.0,23206.0
NN,21312.0,54973.0,38190.0,38190.0,38114.0,41963.0,32592.0,23309.0,23507.0,37513.0,31661.0,23494.0,25842.0
NN,17223.0,18115.0,41530.0,18791.0,18791.0,34837.0,13340.0,25934.0,21620.0,26356.0,45649.0,36777.0,18548.0
NN,33491.0,21025.0,21312.0,49931.0,28374.0,28374.0,54842.0,42740.0,37849.0,28038.0,29206.0,42259.0,31938.0
NN,21021.0,17366.0,22143.0,20779.0,49451.0,37489.0,37489.0,57774.0,36912.0,32242.0,18242.0,22795.0,51298.0
NN,39127.0,17311.0,36799.0,20242.0,29837.0,52092.0,36787.0,36787.0,49496.0,12174.0,26635.0,18242.0,22082.0
NN,47908.0,42169.0,9892.0,35765.0,26952.0,22911.0,49451.0,33048.0,33048.0,52945.0,16578.0,36447.0,27700.0
NN,23507.0,39999.0,35671.0,23494.0,40727.0,27511.0,31435.0,35528.0,36554.0,36554.0,50186.0,12822.0,31891.0
NN,22971.0,27069.0,42937.0,44243.0,23494.0,34525.0,42609.0,34100.0,43930.0,45903.0,45903.0,34837.0,12822.0
NN,23831.0,6081.0,15671.0,39321.0,40510.0,4946.0,51684.0,33103.0,34100.0,39369.0,40761.0,40761.0,48289.0
NN,11786.0,43456.0,22295.0,17096.0,33219.0,36639.0,11129.0,38866.0,24156.0,40493.0,50412.0,46136.0,46136.0
NN,48116.0,13081.0,37148.0,11486.0,29206.0,65535.0,47008.0,23494.0,30183.0,32264.0,28239.0,47771.0,42630.0
NN,42630.0,47254.0,15024.0,46260.0,21958.0,32055.0,45649.0,33874.0,32149.0,26255.0,28070.0,34632.0,39849.0
NN,51278.0,51278.0,46737.0,12045.0,31190.0,19593.0,34192.0,36609.0,35394.0,9892.0,25015.0,25554.0,23443.0
NN,46331.0,36554.0,36554.0,43633.0,12822.0,38550.0,33443.0,32768.0,44745.0,33735.0,8656.0,42174.0,27791.0
NN,26640.0,42250.0,39358.0,39358.0,55015.0,12434.0,32943.0,19255.0,34192.0,50168.0,36777.0,16075.0,33491.0
NN,28518.0,24509.0,48971.0,32347.0,32347.0,38976.0,15930.0,46260.0,20944.0,22795.0,45649.0,39957.0,22257.0
NN,25842.0,26393.0,31435.0,37689.0,46370.0,46370.0,46392.0,8937.0,39952.0,20606.0,27069.0,54688.0,46040.0
NN,7419.0,33698.0,30866.0,21845.0,38409.0,47071.0,47071.0,23110.0,2590.0,0.0,0.0,12822.0,22598.0
NN,3180.0,18548.0,207.0,3746.0,30370.0,13203.0,11312.0,11312.0,22420.0,4663.0,32242.0,18242.0,22082.0
NN,24180.0,10369.0,61825.0,0.0,11128.0,41026.0,9602.0,18791.0,18791.0,27766.0,8030.0,23130.0,20944.0
NN,21370.0,23502.0,14794.0,49460.0,4341.0,24995.0,26640.0,7682.0,8040.0,8040.0,45530.0,6605.0,19625.0
NN,24998.0,17096.0,25310.0,20048.0,23494.0,6616.0,14091.0,39960.0,28567.0,16454.0,16454.0,23110.0,5051.0
NN,28036.0,28376.0,12110.0,56948.0,38160.0,7419.0,30183.0,17726.0,39428.0,38409.0,6638.0,6638.0,19661.0
NN,9196.0,41003.0,28376.0,24219.0,20564.0,19495.0,39568.0,12818.0,9338.0,51682.0,23045.0,3599.0,3599.0
NN,23110.0,6087.0,42055.0,25336.0,19945.0,32542.0,31938.0,29676.0,34525.0,18565.0,37829.0,24726.0,18698.0
NN,18698.0,35872.0,3497.0,11915.0,14864.0,5699.0,45197.0,39266.0,16075.0,38659.0,22479.0,34100.0,45850.0
NN,10471.0,10471.0,23110.0,5569.0,19625.0,30403.0,5699.0,25536.0,22951.0,17311.0,13024.0,19012.0,34100.0
NN,53052.0,10845.0,10845.0,39838.0,2590.0,35045.0,21620.0,28493.0,35027.0,13273.0,51933.0,207.0,10568.0
NN,28771.0,15844.0,22063.0,22063.0,20350.0,5828.0,13668.0,20944.0,57699.0,19661.0,12996.0,1237.0,43208.0
NN,8779.0,42624.0,43210.0,20567.0,20567.0,21730.0,11268.0,29789.0,33105.0,23507.0,2712.0,9402.0,29676.0
NN,21707.0,9897.0,22697.0,13203.0,27672.0,27672.0,48806.0,9973.0,45910.0,48645.0,11397.0,44519.0,34841.0
NN,9892.0,30183.0,11743.0,46887.0,45370.0,6170.0,6170.0,42425.0,11915.0,30840.0,45266.0,12110.0,20338.0
NN,20739.0,17311.0,12818.0,13756.0,26640.0,36248.0,9068.0,9068.0,33802.0,12045.0,43456.0,65535.0,49151.0
NN,52428.0,35256.0,9892.0,32044.0,11575.0,44223.0,53532.0,33048.0,33048.0,16039.0,4533.0,32943.0,35132.0
NN,22082.0,54236.0,24887.0,0.0,25635.0,10792.0,27173.0,44650.0,28420.0,28420.0,10865.0,14765.0,19625.0
NN,18242.0,19233.0,14237.0,17006.0,25967.0,15298.0,14091.0,39960.0,20885.0,7012.0,7012.0,34492.0,2072.0
NN,12266.0,18242.0,11397.0,21920.0,23366.0,13602.0,21707.0,18565.0,37829.0,29047.0,5329.0,5329.0,13969.0
NN,27846.0,30490.0,24998.0,29918.0,16723.0,13549.0,37095.0,11164.0,7661.0,25575.0,30007.0,10377.0,10377.0
NN,22420.0,3238.0,20677.0,14188.0,47014.0,20790.0,20877.0,27203.0,48583.0,11854.0,30903.0,24966.0,22063.0
NN,22063.0,28801.0,40538.0,36447.0,41888.0,22082.0,41807.0,30555.0,37095.0,31837.0,7213.0,37829.0,44650.0
NN,8648.0,8648.0,16729.0,2331.0,22429.0,28376.0,11397.0,32542.0,26546.0,21021.0,21087.0,6822.0,47952.0
NN,44410.0,0.0,0.0,29146.0,13858.0,29438.0,27700.0,11397.0,27570.0,30279.0,16075.0,28116.0,14650.0
NN,36231.0,44890.0,20380.0,20380.0,18108.0,5051.0,40302.0,45266.0,5699.0,23050.0,17144.0,33386.0,20467.0
NN,5144.0,44223.0,34808.0,16454.0,16454.0,34837.0,40409.0,33644.0,40199.0,10685.0,15141.0,17282.0,59352.0
NN,25015.0,19683.0,19181.0,17764.0,11078.0,11078.0,13969.0,1943.0,42755.0,24998.0,17096.0,27570.0,25855.0
NN,11129.0,40107.0,9897.0,16517.0,43450.0,11312.0,11312.0,28284.0,3108.0,30840.0,24998.0,20658.0,27570.0
NN,22122.0,21021.0,21707.0,7493.0,39960.0,45370.0,8040.0,8040.0,19488.0,11268.0,33293.0,41213.0,14247.0
NN,18079.0,18665.0,37095.0,23775.0,6542.0,45288.0,23765.0,10143.0,10143.0,10693.0,12045.0,44157.0,52023.0
NN,12822.0,21242.0,17559.0,33386.0,19226.0,7381.0,46887.0,46571.0,13275.0,13275.0,10520.0,17096.0,38550.0
NN,37159.0,9973.0,21920.0,18665.0,43278.0,19433.0,8499.0,27706.0,35528.0,18791.0,18791.0,18108.0,7641.0
NN,32943.0,43915.0,0.0,27570.0,17282.0,35859.0,20053.0,2572.0,31435.0,46571.0,16220.0,16220.0,18108.0
NN,14117.0,33644.0,26687.0,7836.0,14011.0,16038.0,48224.0,25428.0,6263.0,31968.0,24005.0,9442.0,9442.0
NN,16729.0,9973.0,37148.0,38510.0,11397.0,10621.0,12582.0,45751.0,25222.0,12973.0,30370.0,33128.0,8040.0
NN,8040.0,28628.0,10232.0,31541.0,34119.0,7123.0,9039.0,15485.0,55643.0,25015.0,9897.0,25575.0,18964.0
NN,10143.0,10143.0,21730.0,27069.0,30139.0,24998.0,12822.0,33219.0,26408.0,14838.0,32664.0,4865.0,35698.0
NN,48731.0,561.0,561.0,10175.0,16189.0,32242.0,24998.0,19945.0,46100.0,26546.0,4946.0,19433.0,11016.0
NN,36231.0,40569.0,3132.0,3132.0,24834.0,10102.0,29438.0,28376.0,65535.0,34349.0,26684.0,23494.0,59333.0
NN,7381.0,36231.0,32647.0,30804.0,30804.0,13452.0,17873.0,48363.0,36821.0,45590.0,14011.0,8987.0,1237.0
NN,23775.0,6822.0,25042.0,23765.0,16220.0,16220.0,21730.0,8678.0,21728.0,18242.0,10685.0,35479.0,29864.0
NN,19784.0,28116.0,9059.0,39960.0,35288.0,7012.0,7012.0,23110.0,4274.0,25934.0,26687.0,12822.0,57400.0
NN,47146.0,13602.0,31837.0,18005.0,29837.0,36008.0,17856.0,17856.0,21730.0,31472.0,29789.0,24998.0,12822.0
NN,42259.0,36639.0,39568.0,49616.0,5704.0,50084.0,37449.0,5983.0,5983.0,18108.0,17355.0,11915.0,23309.0
NN,19233.0,28248.0,25301.0,16075.0,20467.0,11295.0,42092.0,40569.0,20193.0,20193.0,27076.0,7771.0,18925.0
NN,26687.0,12822.0,10621.0,14102.0,19784.0,19433.0,6542.0,29837.0,36008.0,13275.0,13275.0,22592.0,22147.0
NN,38550.0,35132.0,19945.0,35705.0,24472.0,25967.0,18606.0,8499.0,17050.0,50652.0,7479.0,7479.0,13624.0
NN,12693.0,18224.0,30065.0,11397.0,34349.0,17974.0,29676.0,20880.0,4362.0,24509.0,28086.0,6404.0,6404.0
NN,25524.0,12822.0,21728.0,33443.0,10685.0,27570.0,21845.0,23494.0,22121.0,9282.0,29837.0,55213.0,18417.0
NN,18417.0,23972.0,23442.0,31891.0,38510.0,14247.0,15819.0,20739.0,65535.0,20880.0,7940.0,20247.0,48731.0
NN,1730.0,1730.0,21040.0,12822.0,26635.0,28376.0,7123.0,15141.0,23366.0,29676.0,25222.0,11854.0,27706.0
NN,45610.0,10845.0,10845.0,29146.0,13081.0,32242.0,40199.0,9973.0,9039.0,19633.0,43278.0,25222.0,11295.0
NN,21312.0,27606.0,9816.0,9816.0,20523.0,7123.0,20326.0,28376.0,15671.0,31186.0,23504.0,32149.0,34525.0
NN,7940.0,20247.0,42010.0,1589.0,1589.0,10003.0,7900.0,46961.0,31754.0,17096.0,39773.0,35671.0,19784.0
NN,43001.0,7661.0,25575.0,47771.0,18791.0,18791.0,7416.0,38855.0,16121.0,30065.0,26356.0,49716.0,30970.0
NN,13602.0,65535.0,9059.0,14386.0,36968.0,13275.0,13275.0,25697.0,21888.0,28387.0,35132.0,12822.0,35479.0
NN,26684.0,16075.0,16746.0,4026.0,22378.0,36248.0,2197.0,2197.0,12590.0,25126.0,54671.0,31754.0,23507.0
NN,17401.0,23366.0,58116.0,13231.0,14091.0,39960.0,29527.0,15379.0,15379.0,6554.0,0.0,39952.0,35132.0
NN,12822.0,33897.0,23089.0,35859.0,21294.0,10065.0,33034.0,24966.0,7292.0,7292.0,18108.0,8419.0,39952.0
NN,40199.0,9973.0,35705.0,26961.0,37095.0,13024.0,9059.0,23976.0,46091.0,5002.0,5002.0,0.0,9973.0
NN,29438.0,36821.0,10685.0,33445.0,25301.0,48224.0,33078.0,3467.0,65535.0,38409.0,6030.0,6030.0,13624.0
NN,9455.0,22079.0,34457.0,11397.0,22598.0,17421.0,21021.0,23154.0,3746.0,25042.0,49451.0,10143.0,10143.0
NN,23972.0,11268.0,29088.0,40199.0,27069.0,23050.0,24195.0,25967.0,24808.0,4362.0,30903.0,40569.0,3132.0
NN,3132.0,30008.0,34840.0,21728.0,18242.0,7123.0,14689.0,12582.0,37095.0,8683.0,11854.0,11722.0,20405.0
NN,4394.0,4394.0,16729.0,34840.0,22429.0,28376.0,12110.0,23050.0,17974.0,29676.0,30183.0,0.0,23976.0
NN,42730.0,13369.0,13369.0,7243.0,21500.0,37148.0,31754.0,18521.0,43389.0,33874.0,23494.0,29356.0,11016.0
NN,17050.0,50892.0,16220.0,16220.0,9140.0,16967.0,65535.0,60468.0,34905.0,49716.0,65535.0,42041.0,30183.0
NN,26393.0,23976.0,58093.0,8741.0,8741.0,23972.0,47791.0,48012.0,53712.0,22795.0,27570.0,24748.0,37095.0
NN,26876.0,4473.0,23443.0,44410.0,4067.0,4067.0,34837.0,65535.0,26985.0,36821.0,11397.0,37061.0,31938.0
NN,21021.0,33078.0,7381.0,13320.0,43930.0,4768.0,4768.0,14487.0,46237.0,36097.0,35132.0,8548.0,42485.0
NN,37192.0,9892.0,51684.0,8499.0,14386.0,56893.0,4768.0,4768.0,17936.0,18391.0,28387.0,35132.0,10685.0
NN,36609.0,31938.0,29676.0,19433.0,8276.0,20247.0,48251.0,4674.0,4674.0,24144.0,10232.0,32592.0,36821.0
NN,11397.0,39773.0,38851.0,32149.0,28116.0,14874.0,11189.0,37689.0,3459.0,3459.0,13107.0,18003.0,49765.0
NN,60468.0,15671.0,25988.0,26269.0,55643.0,27909.0,9618.0,26107.0,28086.0,8788.0,8788.0,23110.0,11527.0
NN,32943.0,46955.0,12822.0,28022.0,29173.0,33386.0,30804.0,4697.0,21845.0,36248.0,2992.0,2992.0,17419.0
NN,46108.0,35746.0,38510.0,7123.0,25310.0,19495.0,35859.0,19433.0,7381.0,16517.0,31207.0,14117.0,14117.0
NN,31560.0,7900.0,33644.0,24998.0,37042.0,11977.0,12582.0,9892.0,10957.0,15769.0,14919.0,480.0,16454.0
NN,16454.0,31905.0,29141.0,36447.0,31754.0,24219.0,7231.0,12167.0,13602.0,8683.0,23038.0,13853.0,3601.0
NN,11779.0,11779.0,30698.0,20334.0,36447.0,45266.0,19945.0,3842.0,10369.0,17311.0,8683.0,24715.0,9590.0
NN,2160.0,13182.0,13182.0,28801.0,36394.0,35045.0,36821.0,25644.0,16271.0,11890.0,4946.0,8890.0,20801.0
NN,15984.0,480.0,15052.0,15052.0,25524.0,6476.0,31190.0,23309.0,10685.0,23050.0,3318.0,58116.0,17366.0
NN,23317.0,14386.0,5761.0,17389.0,17389.0,27076.0,22277.0,29438.0,26687.0,17096.0,14463.0,4424.0,61825.0
NN,10957.0,32544.0,13320.0,7442.0,19492.0,19492.0,21040.0,51547.0,41354.0,35132.0,13534.0,9039.0,1797.0
NN,49460.0,8063.0,14371.0,14386.0,0.0,20661.0,20661.0,25869.0,61779.0,44858.0,48645.0,18521.0,18305.0
NN,3595.0,61825.0,14265.0,20801.0,18115.0,10082.0,11078.0,11078.0,42425.0,36912.0,29088.0,30065.0,12822.0
NN,14463.0,1936.0,55643.0,9717.0,24715.0,17583.0,13203.0,14117.0,14117.0,31215.0,28753.0,43807.0,45266.0
NN,22082.0,30282.0,3595.0,49460.0,8269.0,20354.0,21845.0,21125.0,14584.0,14584.0,32768.0,26810.0,46961.0
NN,35132.0,18521.0,12655.0,2212.0,49460.0,7029.0,18565.0,15451.0,24966.0,15052.0,15052.0,40183.0,23572.0
NN,34695.0,31754.0,13534.0,9491.0,2212.0,29676.0,4755.0,24156.0,11722.0,28807.0,23465.0,23465.0,42943.0
NN,31472.0,47662.0,43577.0,19233.0,12881.0,2489.0,45751.0,2894.0,17167.0,21845.0,18964.0,11312.0,11312.0
NN,44667.0,54526.0,34695.0,31754.0,15671.0,23050.0,6360.0,42041.0,12611.0,17446.0,22911.0,18724.0,12714.0
NN,12714.0,21040.0,40668.0,29438.0,26687.0,29918.0,9039.0,6083.0,19784.0,15092.0,38751.0,9058.0,17524.0
NN,26971.0,26971.0,36734.0,36653.0,27686.0,35132.0,22795.0,11751.0,2903.0,37095.0,18399.0,15209.0,6394.0
NN,9842.0,25803.0,25803.0,49151.0,55692.0,30490.0,31754.0,7123.0,0.0,0.0,33386.0,5582.0,20242.0
NN,5328.0,1440.0,6404.0,6404.0,31733.0,50123.0,39251.0,36821.0,11397.0,16271.0,4286.0,42041.0,9303.0
NN,35619.0,3197.0,14163.0,16220.0,16220.0,39493.0,32379.0,35746.0,36821.0,15671.0,21468.0,5807.0,39568.0
NN,17366.0,39925.0,3730.0,8402.0,17389.0,17389.0,35354.0,40927.0,35045.0,36821.0,30630.0,9717.0,14517.0
NN,25967.0,15092.0,45405.0,4795.0,1440.0,12714.0,12714.0,42598.0,30825.0,44157.0,45266.0,37754.0,9491.0
NN,17006.0,11129.0,17366.0,40931.0,5861.0,720.0,10377.0,10377.0,30353.0,24997.0,39251.0,38510.0,29918.0
NN,11299.0,14102.0,13602.0,17572.0,53233.0,0.0,4801.0,9442.0,9442.0,35872.0,15024.0,48713.0,50334.0
NN,32768.0,27570.0,12996.0,16075.0,23775.0,32544.0,6926.0,1440.0,6871.0,6871.0,37941.0,33156.0,32242.0
NN,26687.0,19945.0,18531.0,6775.0,59352.0,30183.0,51668.0,4262.0,5761.0,18557.0,18557.0,26731.0,7123.0
NN,25934.0,31754.0,23507.0,11299.0,3318.0,49460.0,20467.0,35340.0,5328.0,6722.0,16921.0,16921.0,36907.0
NN,57635.0,33644.0,38510.0,16384.0,17175.0,4010.0,59352.0,23568.0,37017.0,6394.0,5041.0,20895.0,20895.0
NN,48461.0,43776.0,35746.0,30065.0,13534.0,18531.0,6775.0,43278.0,23775.0,43224.0,4795.0,8882.0,9442.0
NN,9442.0,24489.0,29659.0,44858.0,55401.0,19233.0,20790.0,3318.0,61825.0,15092.0,34781.0,10123.0,11043.0
NN,28140.0,28140.0,57084.0,12174.0,46961.0,48645.0,19945.0,41129.0,13411.0,49460.0,47342.0,65535.0,4795.0
NN,16564.0,17856.0,17856.0,42253.0,12045.0,44858.0,40199.0,13534.0,36609.0,10508.0,48224.0,38866.0,58545.0
NN,4795.0,12243.0,15986.0,15986.0,22937.0,40020.0,35746.0,35132.0,12822.0,29830.0,8019.0,45751.0,13024.0
NN,35619.0,4262.0,7442.0,11312.0,11312.0,45874.0,32638.0,41354.0,31754.0,26356.0,19209.0,3042.0,45751.0
NN,8063.0,25722.0,25575.0,13203.0,18791.0,18791.0,31388.0,32767.0,42755.0,38510.0,25644.0,15141.0,3595.0
NN,58116.0,11370.0,24044.0,20779.0,20165.0,13649.0,13649.0,33285.0,35099.0,34695.0,26687.0,25644.0,9265.0
NN,4977.0,33386.0,10957.0,22367.0,10656.0,11523.0,18557.0,18557.0,47427.0,26162.0,32943.0,38510.0,14247.0
NN,8361.0,4701.0,34622.0,12818.0,46411.0,11722.0,9842.0,15753.0,15753.0,46564.0,46885.0,31541.0,40199.0
NN,12822.0,6779.0,1797.0,48224.0,15298.0,29860.0,15984.0,11523.0,11312.0,11312.0,41735.0,38337.0,43456.0
NN,41888.0,29206.0,16271.0,8019.0,37095.0,21707.0,52562.0,19714.0,6962.0,19492.0,19492.0,30870.0,34063.0
NN,32943.0,30065.0,12822.0,11299.0,4424.0,33386.0,11577.0,50214.0,12787.0,11523.0,19025.0,19025.0,43977.0
NN,23831.0,46610.0,46955.0,24932.0,12881.0,6913.0,32149.0,23361.0,41267.0,13853.0,12723.0,22063.0,22063.0
NN,40873.0,49993.0,52568.0,48645.0,29918.0,22598.0,8572.0,17311.0,14471.0,40372.0,10123.0,15604.0,16454.0
NN,16454.0,20178.0,29659.0,33644.0,28376.0,18521.0,6102.0,2074.0,33386.0,6616.0,23597.0,9590.0,13443.0
NN,10845.0,10845.0,30008.0,21370.0,32242.0,30065.0,11397.0,9265.0,2350.0,43278.0,4755.0,48201.0,4795.0
NN,8642.0,8975.0,8975.0,53980.0,22924.0,39251.0,31754.0,14959.0,15819.0,4977.0,38332.0,17159.0,47082.0
NN,7459.0,10562.0,17856.0,17856.0,46219.0,63592.0,38200.0,33443.0,17808.0,15819.0,3733.0,48224.0,13438.0
NN,35899.0,8525.0,11283.0,21596.0,21596.0,40873.0,41057.0,39251.0,41888.0,22795.0,18531.0,5669.0,37095.0
NN,20674.0,33662.0,11722.0,6962.0,22063.0,22063.0,38631.0,45849.0,31541.0,31754.0,35617.0,13785.0,4839.0
NN,37095.0,19433.0,49878.0,5861.0,6962.0,26036.0,26036.0,36907.0,23960.0,35396.0,31754.0,35617.0,15141.0
NN,4701.0,49460.0,21707.0,44846.0,6394.0,8402.0,26270.0,26270.0,53463.0,43517.0,48363.0,46955.0,18521.0
